actual,proposed
-8.135557174682617,-8.135557174682617
-8.159439086914062,-8.159439086914062
-8.159439086914062,-8.159439086914062
-8.245620727539062,-8.245620727539062
-8.261600494384766,-8.261600494384766
-8.285571098327637,-8.285571098327637
-8.322120666503906,-8.322120666503906
-8.361977577209473,-8.361977577209473
-8.369948387145996,-8.369948387145996
-8.369948387145996,-8.369948387145996
-8.518592834472656,-8.518592834472656
-8.518592834472656,-8.518592834472656
-8.5266752243042,-8.5266752243042
-8.550921440124512,-8.550921440124512
-8.550921440124512,-8.550921440124512
-8.323172569274902,-8.323172569274902
-8.385930061340332,-8.346705436706543
-8.385930061340332,-8.385930061340332
-8.161248207092285,-8.161248207092285
-8.184087753295898,-8.176474571228027
-8.184087753295898,-8.184087753295898
-7.882002353668213,-8.184087753295898
-7.882002353668213,-7.882002353668213
-7.889334678649902,-7.889334678649902
-7.911330699920654,-7.911330699920654
-7.94736385345459,-7.94736385345459
-7.94736385345459,-7.94736385345459
-7.519116401672363,-7.519116401672363
-7.537343978881836,-7.537343978881836
-7.546419143676758,-7.546419143676758
-7.30495548248291,-7.30495548248291
-7.270925998687744,-7.270925998687744
-7.270925998687744,-7.270925998687744
-7.279468059539795,-7.279468059539795
-7.2031025886535645,-7.2031025886535645
-7.2031025886535645,-7.2031025886535645
-7.133339881896973,-7.133339881896973
-7.123223304748535,-7.123223304748535
-7.0012335777282715,-7.0012335777282715
-6.982618808746338,-6.982618808746338
-7.010501384735107,-7.010501384735107
-7.078670978546143,-7.078670978546143
-7.1028642654418945,-7.1028642654418945
-7.094820499420166,-7.094820499420166
-7.094820499420166,-7.094820499420166
-7.070035934448242,-7.070035934448242
-7.070035934448242,-7.070035934448242
-7.084331512451172,-7.084331512451172
-7.070035934448242,-7.070035934448242
-6.843318462371826,-6.843318462371826
-6.8367743492126465,-6.8367743492126465
-6.8367743492126465,-6.8367743492126465
-6.7373046875,-6.7373046875
-6.7548508644104,-6.7548508644104
-6.7548508644104,-6.7548508644104
-6.510745525360107,-6.7548508644104
-6.510745525360107,-6.510745525360107
-6.510745525360107,-6.510745525360107
-6.505363464355469,-6.505363464355469
-6.210168838500977,-6.210168838500977
-6.210168838500977,-6.210168838500977
-6.189877033233643,-6.189877033233643
-6.184776782989502,-6.184776782989502
-5.889457702636719,-5.889457702636719
-5.889457702636719,-5.889457702636719
-5.889457702636719,-5.889457702636719
-5.894432544708252,-5.894432544708252
-5.671072006225586,-5.894432544708252
-5.671072006225586,-5.671072006225586
-5.666507720947266,-5.666507720947266
-5.666507720947266,-5.666507720947266
-5.37553596496582,-5.666507720947266
-5.37553596496582,-5.37553596496582
-5.371252059936523,-5.371252059936523
-5.37553596496582,-5.37553596496582
-5.36265754699707,-5.36265754699707
-4.9092841148376465,-4.9092841148376465
-4.9092841148376465,-4.9092841148376465
-4.900184154510498,-4.900184154510498
-4.895634651184082,-4.895634651184082
-4.895634651184082,-4.895634651184082
-4.494040012359619,-4.494040012359619
-4.485671043395996,-4.485671043395996
-4.477302551269531,-4.477302551269531
-4.086611270904541,-4.086611270904541
-4.086611270904541,-4.086611270904541
-4.086611270904541,-4.086611270904541
-4.086611270904541,-4.086611270904541
-3.7544729709625244,-3.7544729709625244
-3.7544729709625244,-3.7544729709625244
-3.757972002029419,-3.757972002029419
-3.7544729709625244,-3.7544729709625244
-3.3019332885742188,-3.3019332885742188
-3.2957732677459717,-3.2957732677459717
-3.2957732677459717,-3.2957732677459717
-2.8973610401153564,-2.8973610401153564
-2.8973610401153564,-2.8973610401153564
-2.891930103302002,-2.891930103302002
-2.891930103302002,-2.891930103302002
-2.6252553462982178,-2.6252553462982178
-2.6227903366088867,-2.6227903366088867
-2.6252553462982178,-2.6252553462982178
-2.627720355987549,-2.627720355987549
-2.31958270072937,-2.31958270072937
-2.0356969833374023,-2.1833434104919434
-1.8303714990615845,-1.8303714990615845
-1.4855775833129883,-1.4855775833129883
-1.4339053630828857,-1.4339053630828857
-1.2327224016189575,-1.2327224016189575
-1.0639028549194336,-1.0639028549194336
-1.0410583019256592,-1.0410583019256592
-1.0410583019256592,-1.0410583019256592
-0.9308133721351624,-1.0290920734405518
-0.9308133721351624,-0.9308133721351624
-0.9217958450317383,-0.9217958450317383
-0.9217958450317383,-0.9217958450317383
-0.902758777141571,-0.902758777141571
-0.7491421103477478,-0.902758777141571
-0.7491421103477478,-0.7491421103477478
-0.7313457727432251,-0.7313457727432251
-0.7313457727432251,-0.7313457727432251
-0.6196102499961853,-0.7211764454841614
-0.6196102499961853,-0.6196102499961853
-0.6046257019042969,-0.6046257019042969
-0.5963842272758484,-0.5963842272758484
-0.5408957004547119,-0.5408957004547119
-0.5269190073013306,-0.5269190073013306
-0.5192318558692932,-0.5269190073013306
-0.4527347683906555,-0.5192318558692932
-0.4527347683906555,-0.4527347683906555
-0.4389585852622986,-0.4389585852622986
-0.4389585852622986,-0.4389585852622986
-0.4320704936981201,-0.4320704936981201
-0.3526351749897003,-0.3526351749897003
-0.341565877199173,-0.3526351749897003
-0.341565877199173,-0.341565877199173
-0.33629482984542847,-0.33629482984542847
-0.3257526755332947,-0.33629482984542847
-0.29011231660842896,-0.29011231660842896
-0.2796148359775543,-0.2796148359775543
-0.2691173553466797,-0.2691173553466797
-0.2691173553466797,-0.2691173553466797
-0.24078063666820526,-0.24078063666820526
-0.23163706064224243,-0.23163706064224243
-0.2237997204065323,-0.23163706064224243
-0.17886973917484283,-0.17886973917484283
-0.1714020073413849,-0.1714020073413849
