actual,proposed
-1.5375133752822876,-1.019186019897461
-1.5375133752822876,-0.9787080883979797
-1.5397193431854248,-0.9787080883979797
-1.5397193431854248,-0.9801082015037537
-1.5419251918792725,-0.9815082550048828
-1.5692176818847656,-0.9988289475440979
-1.571459412574768,-0.9988289475440979
-1.571459412574768,-1.0002515316009521
-1.575942873954773,-1.0002515316009521
-1.5371177196502686,-1.003096580505371
-1.5371177196502686,-0.9784570336341858
-1.539294958114624,-0.9784570336341858
-1.539294958114624,-0.9798389077186584
-1.548003911972046,-0.9798389077186584
-1.5636446475982666,-0.9853662252426147
-1.5636446475982666,-0.9952923655509949
-1.5658377408981323,-0.9952923655509949
-1.5658377408981323,-0.9966840744018555
-1.568030834197998,-0.9966840744018555
-1.5746099948883057,-0.9980757832527161
-1.5746099948883057,-1.0022507905960083
-1.529062032699585,-1.0022507905960083
-1.529062032699585,-0.9733439683914185
-1.531188726425171,-0.9733439683914185
-1.5333154201507568,-0.974693775177002
-1.5333154201507568,-0.9760436415672302
-1.4885103702545166,-0.9760436415672302
-1.4885103702545166,-0.9476016759872437
-1.492627739906311,-0.9476016759872437
-1.5008630752563477,-0.9502156972885132
-1.5008630752563477,-0.9554438591003418
-1.4574819803237915,-0.9554438591003418
-1.4574819803237915,-0.9279009699821472
-1.4634634256362915,-0.9279009699821472
-1.4674512147903442,-0.9316990375518799
-1.4674512147903442,-0.9342310428619385
-1.4620054960250854,-0.9342310428619385
-1.4620054960250854,-0.9307732582092285
-1.4639917612075806,-0.9307732582092285
-1.4639917612075806,-0.9320344924926758
-1.4639917612075806,-0.9320344924926758
-1.4636582136154175,-0.9320344924926758
-1.4636582136154175,-0.9318227171897888
-1.4636582136154175,-0.9318227171897888
-1.4656442403793335,-0.933083713054657
-1.4631414413452148,-0.933083713054657
-1.4631414413452148,-0.9314945340156555
-1.467106580734253,-0.934012234210968
-1.4710718393325806,-0.9365299344062805
-1.4710718393325806,-0.9365299344062805
-1.4892433881759644,-0.9480671286582947
-1.4972501993179321,-0.9531502723693848
-1.5563018321990967,-0.9531502723693848
-1.5563018321990967,-0.9906325340270996
-1.5604521036148071,-0.9906325340270996
-1.5687522888183594,-0.9932663440704346
-1.5687522888183594,-0.9985336065292358
-1.5729024410247803,-0.9985336065292358
-1.5729024410247803,-1.0011672973632812
-1.673888921737671,-1.0652309656143188
-1.6760884523391724,-1.0666258335113525
-1.6804876327514648,-1.0666258335113525
-1.6804876327514648,-1.0694156885147095
-1.7268791198730469,-1.0694156885147095
-1.7291336059570312,-1.098831057548523
-1.7291336059570312,-1.1002602577209473
-1.7381511926651,-1.1002602577209473
-1.7381511926651,-1.105976939201355
-1.7707875967025757,-1.122330665588379
-1.7707875967025757,-1.1266639232635498
-1.7753456830978394,-1.1266639232635498
-1.7753456830978394,-1.1295528411865234
-1.8158961534500122,-1.1295528411865234
-1.8182153701782227,-1.1552492380142212
-1.8182153701782227,-1.1567187309265137
-1.8298109769821167,-1.1567187309265137
-1.8298109769821167,-1.1640653610229492
-1.8716977834701538,-1.1640653610229492
-1.8764303922653198,-1.1905988454818726
-1.8787964582443237,-1.1935962438583374
-1.8787964582443237,-1.1950948238372803
-1.8882615566253662,-1.1950948238372803
-1.8786808252334595,-1.2010891437530518
-1.8786808252334595,-1.195021629333496
-1.8833832740783691,-1.195021629333496
-1.8833832740783691,-1.1979997158050537
-1.888085961341858,-1.1979997158050537
-1.935203194618225,-1.2009779214859009
-1.935203194618225,-1.2308120727539062
-1.937610149383545,-1.2308120727539062
-1.937610149383545,-1.2323359251022339
-1.937610149383545,-1.2323359251022339
-1.9990367889404297,-1.2323359251022339
-1.9990367889404297,-1.2712148427963257
-2.0064773559570312,-1.2712148427963257
-2.0064773559570312,-1.2759228944778442
-2.0213584899902344,-1.2759228944778442
-2.1553773880004883,-1.2853385210037231
-2.1553773880004883,-1.3700871467590332
-2.1632916927337646,-1.3700871467590332
-2.1632916927337646,-1.375089168548584
-2.1817588806152344,-1.375089168548584
-2.19876766204834,-1.3867594003677368
-2.19876766204834,-1.397506594657898
-2.209376811981201,-1.397506594657898
-2.209376811981201,-1.4042093753814697
-2.2173337936401367,-1.4042093753814697
-2.215745449066162,-1.409236192703247
-2.215745449066162,-1.4082326889038086
-2.2210397720336914,-1.4082326889038086
-2.2210397720336914,-1.4115772247314453
-2.2289814949035645,-1.4115772247314453
-2.2644221782684326,-1.4165939092636108
-2.2644221782684326,-1.4389770030975342
-2.2751667499542236,-1.4457616806030273
-2.280539035797119,-1.4457616806030273
-2.330548048019409,-1.4491537809371948
-2.330548048019409,-1.4807223081588745
-2.341489791870117,-1.4807223081588745
-2.341489791870117,-1.4876275062561035
-2.3469605445861816,-1.4876275062561035
-2.3469605445861816,-1.4910798072814941
-2.4907758235931396,-1.4910798072814941
-2.4907758235931396,-1.5817747116088867
-2.496568441390991,-1.5817747116088867
-2.5052571296691895,-1.5854252576828003
-2.5052571296691895,-1.5909006595611572
-2.626210927963257,-1.5909006595611572
-2.626210927963257,-1.6670759916305542
-2.6322762966156006,-1.6670759916305542
-2.6353087425231934,-1.6708935499191284
-2.6353087425231934,-1.672802209854126
-2.7286407947540283,-1.672802209854126
-2.7286407947540283,-1.7315161228179932
-2.738039016723633,-1.7315161228179932
-2.744304656982422,-1.7374253273010254
-2.744304656982422,-1.741364598274231
-2.9568023681640625,-1.8748154640197754
-2.9568023681640625,-1.8748154640197754
-2.9668939113616943,-1.8790355920791626
-2.9668939113616943,-1.8811455965042114
-3.203495979309082,-1.8811455965042114
-3.203495979309082,-2.0293567180633545
-3.218024253845215,-2.0293567180633545
-3.221656322479248,-2.0407161712646484
-3.5215847492218018,-2.0407161712646484
-3.5215847492218018,-2.227963447570801
-3.533468246459961,-2.2328999042510986
-3.533468246459961,-2.235368013381958
-3.7623298168182373,-2.235368013381958
-3.7623298168182373,-2.377747058868408
-3.779125928878784,-2.377747058868408
-3.7917230129241943,-2.388179063796997
-3.7917230129241943,-2.3960015773773193
-3.812718152999878,-2.3960015773773193
-3.812718152999878,-2.4090359210968018
-4.150678634643555,-2.4090359210968018
-4.155239582061768,-2.6183204650878906
-4.155239582061768,-2.621138095855713
-4.16436243057251,-2.621138095855713
-4.16436243057251,-2.62677264213562
-4.542218208312988,-2.62677264213562
-4.547176361083984,-2.8594632148742676
-4.547176361083984,-2.8625073432922363
-4.547176361083984,-2.8625073432922363
-4.547176361083984,-2.8625073432922363
-4.780495643615723,-3.0054738521575928
-4.801280498504639,-3.0181822776794434
-5.170845031738281,-3.243381977081299
-5.176416397094727,-3.2467658519744873
-5.597583293914795,-3.2467658519744873
-5.603595733642578,-3.501530170440674
-5.603595733642578,-3.5051522254943848
-5.615621089935303,-3.5051522254943848
-5.615621089935303,-3.512395143508911
-5.9193501472473145,-3.512395143508911
-5.925680637359619,-3.694760322570801
-5.925680637359619,-3.698549270629883
-5.938342571258545,-3.698549270629883
-5.938342571258545,-3.7061264514923096
-6.245133876800537,-3.7061264514923096
-6.271624565124512,-3.8891007900238037
-6.271624565124512,-3.904844284057617
-6.291491985321045,-3.904844284057617
-6.291491985321045,-3.9166455268859863
-6.3113603591918945,-3.9166455268859863
-6.529360771179199,-3.9284422397613525
-6.556680679321289,-4.057539939880371
-6.556680679321289,-4.073674201965332
-6.577169895172119,-4.085768222808838
-6.594151496887207,-4.095787525177002
-6.62828254699707,-4.095787525177002
-6.62828254699707,-4.115913391113281
-6.655587196350098,-4.115913391113281
-6.853907108306885,-4.132002830505371
-6.853907108306885,-4.248560905456543
-6.881938934326172,-4.248560905456543
-6.881938934326172,-4.264992713928223
-6.909971714019775,-4.264992713928223
-7.043604850769043,-4.28141450881958
-7.043604850769043,-4.359546661376953
-7.072207927703857,-4.359546661376953
-7.072207927703857,-4.3762383460998535
-7.086509704589844,-4.384579658508301
-7.2275166511535645,-4.466668128967285
-7.2275166511535645,-4.466668128967285
-7.2275166511535645,-4.466668128967285
-7.26401948928833,-4.487872123718262
-7.51625919342041,-4.633875846862793
-7.569084644317627,-4.633875846862793
-7.569084644317627,-4.664336204528809
-7.599270343780518,-4.681723117828369
-7.8875041007995605,-4.847072124481201
-7.903123378753662,-4.847072124481201
-7.903123378753662,-4.855996608734131
-7.942170143127441,-4.855996608734131
-7.942170143127441,-4.878292083740234
-7.942170143127441,-4.878292083740234
-8.135557174682617,-4.878292083740234
-8.135557174682617,-4.988374710083008
-8.135557174682617,-4.988374710083008
-8.159439086914062,-5.00192928314209
-8.245620727539062,-5.00192928314209
-8.245620727539062,-5.050771236419678
-8.261600494384766,-5.050771236419678
